child_id,lambda,rep,setting,score,num_runner_success,num_runner_failed,drivable_area_compliance,driving_direction_compliance,ego_is_comfortable,ego_is_making_progress,ego_progress_along_expert_route,no_ego_at_fault_collisions,speed_limit_compliance,time_to_collision_within_bound
j009__lambda0.8-four-settings__sna__ha8333b,0.8,,test14-random_NR,0.8223849807293451,1066,0,1.0,1.0,0.0,1.0,0.8316319383339041,1.0,1.0,1.0
j009__lambda0.8-four-settings__sna__ha8333b,0.8,,test14-hard_R,0.9225870475483693,1066,0,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j009__lambda0.8-four-settings__sna__ha8333b,0.8,,test14-random_R,0.9049430025757499,1066,0,1.0,1.0,1.0,1.0,0.6958176082423996,1.0,1.0,1.0
j010__lambda1-four-settings__sna__h051bd4,1.0,,test14-hard_NR,0.9208375333969228,1066,0,1.0,1.0,1.0,1.0,0.8587427637249583,1.0,0.8599216789314933,1.0
j010__lambda1-four-settings__sna__h051bd4,1.0,,test14-random_NR,0.8221689191853018,1066,0,1.0,1.0,0.0,1.0,0.8309405413929656,1.0,1.0,1.0
j010__lambda1-four-settings__sna__h051bd4,1.0,,test14-hard_R,0.9225870475483693,1066,0,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j010__lambda1-four-settings__sna__h051bd4,1.0,,test14-random_R,0.9048945881314532,1066,0,1.0,1.0,1.0,1.0,0.69566268202065,1.0,1.0,1.0
j011__lambda2-four-settings__sna__h30e4c6,2.0,,test14-hard_NR,0.0,1065,1,0.0,1.0,0.0,1.0,0.5563420321925356,1.0,0.874115124116801,1.0
j011__lambda2-four-settings__sna__h30e4c6,2.0,,test14-random_NR,0.8211170003551773,1065,1,1.0,1.0,0.0,1.0,0.8383554677385561,1.0,0.9865236667475143,1.0
j011__lambda2-four-settings__sna__h30e4c6,2.0,,test14-hard_R,0.9225870475483693,1065,1,1.0,1.0,1.0,1.0,0.9124902927251984,1.0,0.799735324286979,1.0
j011__lambda2-four-settings__sna__h30e4c6,2.0,,test14-random_R,0.9064302657570635,1065,1,1.0,1.0,1.0,1.0,0.7005768504226034,1.0,1.0,1.0
