lambda,n,overall_mean,overall_std,overall_delta_vs_baseline,test14-hard_NR_mean,test14-hard_NR_std,test14-hard_NR_delta_vs_baseline,test14-hard_R_mean,test14-hard_R_std,test14-hard_R_delta_vs_baseline,test14-random_NR_mean,test14-random_NR_std,test14-random_NR_delta_vs_baseline,test14-random_R_mean,test14-random_R_std,test14-random_R_delta_vs_baseline
0.0,3,0.8950761723876336,4.9419552602963364e-05,0.0,0.9297956625740075,0.0,0.0,0.9227011771163635,0.00019767821041185345,0.0,0.8230570104282016,0.0,0.0,0.904750839431962,0.0,0.0
0.2,1,0.8951819226277731,0.0,0.00010575024013947942,0.9301955856815372,0.0,0.0003999231075296761,0.9225870475483693,0.0,-0.00011412956799417007,0.8230380418535526,0.0,-1.8968574649003145e-05,0.9049070154276331,0.0,0.00015617599567108176
0.3,1,0.8951082159509582,0.0,3.204356332464631e-05,0.9299194197054625,0.0,0.00012375713145507117,0.9225870475483693,0.0,-0.00011412956799417007,0.822996642074446,0.0,-6.036835375555771e-05,0.9049297544755548,0.0,0.00017891504359279775
0.5,1,0.8946429269297048,0.0,-0.000433245457928777,0.9282078566026803,0.0,-0.0015878059713271275,0.9225870475483693,0.0,-0.00011412956799417007,0.8228239193519784,0.0,-0.0002330910762231575,0.9049528842157913,0.0,0.0002020447838293471
0.6,1,0.8943050419597032,0.0,-0.0007711304279304221,0.927002697902096,0.0,-0.00279296467191148,0.9225870475483693,0.0,-0.00011412956799417007,0.8226885302154681,0.0,-0.00036848021273350184,0.9049418921728795,0.0,0.00019105274091746338
0.8,1,0.8935155595071438,0.0,-0.001560612880489809,0.9241472071751109,0.0,-0.005648455398896579,0.9225870475483693,0.0,-0.00011412956799417007,0.8223849807293451,0.0,-0.0006720296988564911,0.9049430025757499,0.0,0.00019216314378789345
1.0,1,0.8926220220655117,0.0,-0.0024541503221219285,0.9208375333969228,0.0,-0.008958129177084717,0.9225870475483693,0.0,-0.00011412956799417007,0.8221689191853018,0.0,-0.0008880912428997911,0.9048945881314532,0.0,0.0001437486994911863
2.0,1,0.6625335784151525,0.0,-0.23254259397248112,0.0,0.0,-0.9297956625740075,0.9225870475483693,0.0,-0.00011412956799417007,0.8211170003551773,0.0,-0.0019400100730242453,0.9064302657570635,0.0,0.0016794263251015407
